address,tx_count,active_days,in_out_ratio,burstiness,dormancy,total_eth_in,total_eth_out,unique_counterparties,contract_interaction_ratio,failed_tx_ratio
0x72c6e157e68c8e1e731d413ea46c0db1ca415036,2,208.2434722222222,1.0,,861.3706240517839,0.5296991987282538,0.5246991987282539,2,0.0,0.0
0xa7d0c0ece37ff638dec6191a048ef15c63fa53e1,185,1062.2168055555555,0.34057971014492755,5.203069545449672,42.814258540510025,38.91785053743096,61.77458284090559,109,0.4810810810810811,0.010810810810810811
0x52524af88fb196a5cdeec8856f443dd6edd430ca,49,340.36944444444447,0.6333333333333333,6.597196230216599,744.8896917748148,0.5981301216975061,0.6069018253410263,30,0.30612244897959184,0.0
0x4f9119db871a59688822ad8b0fcf283e754c9507,4,995.0430555555556,0.3333333333333333,1.4516728648621073,77.97165091466296,0.2,0.19659300110894898,4,0.5,0.0
0x354bd558a511a32af58f965cb780f66991893470,167,927.7294444444444,0.6568627450980392,9.529675687505323,150.31639664093655,5.038660716054807,25.560889059646936,99,0.6287425149700598,0.023952095808383235
0xbdad7397de4f8aa163d85d78279cd71a96584d15,2,0.014722222222222222,1.0,,861.3705961771751,0.05,0.045000000000000005,2,0.0,0.0
0xda26c3adbeaec4afa3f80fe2ddaeb5bc6220b88d,2,0.7373611111111111,1.0,,861.3708897784021,0.05,0.045000000000000005,2,0.0,0.0
0xabb8472a739c7c2abbcb0e725fb46a87a4be8f2a,156,912.7983333333333,0.0064516129032258064,11.158160251624542,164.43437900086795,0.12,6.967337440514505,80,0.9743589743589743,0.00641025641025641
0x3789c8e51107f259fce329ad5be309bf7a60c31b,2,0.7361111111111112,1.0,,861.3709217659853,0.05,0.045000000000000005,2,0.0,0.0
0x862ed3fc70747d888696ac30bc2cdf6e4c1d5c70,63,126.53777777777778,0.46511627906976744,1.945331831903219,1035.1396896893752,0.40727820964119604,0.3709467784065259,22,0.3968253968253968,0.0
0x323ac86588563e8176889cd47a3448e10df8a4c8,2,213.76708333333335,1.0,,861.3709558796303,0.1885291081619315,0.1835291081619315,2,0.0,0.0
0xbe71c0e9e695810f3a18c1814a93bfb9940c82f8,135,5.764027777777778,0.022727272727272728,3.898787821711865,1070.4341701344676,15.25,16.69988335573149,40,0.9629629629629629,0.007407407407407408
0xe7ebb56edf0cc4108060309e4cdd906448b7701d,1359,428.0388888888889,0.007412898443291327,19.51080254809131,701.1847587761007,2.73109958999113,204.3574058165194,355,0.986019131714496,0.020603384841795438
0xa4923941cd425326c708f5b768310de2f1e45258,2,201.75027777777777,1.0,,861.371026387256,2.5964361548140626,2.5914361548140628,2,0.0,0.0
0xb2cb818071118cb022567d6bfb0d02a685a0d2f2,122,243.75319444444443,0.28421052631578947,10.718064323064745,835.2989659488643,2.558663143893071,7.97190480533421,53,0.7377049180327869,0.03278688524590164
0x54e070cacbe522da1380cbe4269db4a396d86044,4,0.7645833333333333,0.3333333333333333,1.7221476718626254,861.3712020520369,0.05,0.043297816759978416,4,0.5,0.0
0x622adeae91fa0d1fbd08cc37cc1bdae1d4cc0738,15,30.577916666666667,14.0,2.2979278612007463,1096.632611353552,0.07898474406082644,0.0,3,0.4666666666666667,0.06666666666666667
0xc3a1fefb4d1caa2082102d54a968a478379a7681,3,188.13097222222223,0.5,1.4141655359731438,861.370961335776,0.3755762309862546,0.36983383722894936,3,0.3333333333333333,0.0
